project,file,component,copy_source,keywords
McStas,./mcstas-comps/examples/DTU/Test_FZP_simple/Test_FZP_simple.instr,COPY(psd_monitor),psd_monitor,
McStas,./mcstas-comps/examples/DTU/Test_FZP_simple/Test_FZP_simple.instr,COPY(psd_monitor),psd_monitor,
McStas,./mcstas-comps/examples/DTU/Test_FZP_simple/Test_FZP_simple.instr,COPY(psd_monitor),psd_monitor,
McStas,./mcstas-comps/examples/DTU/Test_FZP_simple/Test_FZP_simple.instr,COPY(psd_monitor),psd_monitor,
McStas,./mcstas-comps/examples/DTU/Test_FZP_simple/Test_FZP_simple.instr,COPY(psd_monitor),psd_monitor,
McStas,./mcstas-comps/examples/DTU/Test_FZP_simple/Test_FZP_simple.instr,COPY(psd_monitor),psd_monitor,
McStas,./mcstas-comps/examples/DTU/Test_FZP_simple/Test_FZP_simple.instr,COPY(psd_monitor),psd_monitor,
McStas,./mcstas-comps/examples/DTU/Test_FZP_simple/Test_FZP_simple.instr,COPY(psd_monitor),psd_monitor,
McStas,./mcstas-comps/examples/DTU/Test_FZP_simple/Test_FZP_simple.instr,COPY(psd_monitor),psd_monitor,
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI/FRMII_SPODI.instr,in_pile_2,in_pile_1,
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI/FRMII_SPODI.instr,in_pile_3,in_pile_1,
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI/FRMII_SPODI.instr,SR8a,in_pile_1,
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI/FRMII_SPODI.instr,vacuumed_tube,in_pile_1,WHEN
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI/FRMII_SPODI.instr,sample_holder_back,sample_holder,WHEN
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI_MULTI/FRMII_SPODI_MULTI.instr,in_pile_2,in_pile_1,
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI_MULTI/FRMII_SPODI_MULTI.instr,in_pile_3,in_pile_1,
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI_MULTI/FRMII_SPODI_MULTI.instr,SR8a,in_pile_1,
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI_MULTI/FRMII_SPODI_MULTI.instr,vacuumed_tube,in_pile_1,WHEN
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI_MULTI/FRMII_SPODI_MULTI.instr,sample_holder_back,sample_holder,WHEN
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI_MULTI/FRMII_SPODI_MULTI.instr,soller_psd_lin_2,soller_psd_lin_1,GROUP
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI_MULTI/FRMII_SPODI_MULTI.instr,soller_psd_lin_3,soller_psd_lin_1,GROUP
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI_MULTI/FRMII_SPODI_MULTI.instr,soller_psd_lin_4,soller_psd_lin_1,GROUP
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI_MULTI/FRMII_SPODI_MULTI.instr,soller_psd_lin_5,soller_psd_lin_1,GROUP
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI_MULTI/FRMII_SPODI_MULTI.instr,soller_psd_lin_6,soller_psd_lin_1,GROUP
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI_MULTI/FRMII_SPODI_MULTI.instr,soller_psd_lin_7,soller_psd_lin_1,GROUP
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI_MULTI/FRMII_SPODI_MULTI.instr,soller_psd_lin_8,soller_psd_lin_1,GROUP
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI_MULTI/FRMII_SPODI_MULTI.instr,soller_psd_lin_9,soller_psd_lin_1,GROUP
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI_MULTI/FRMII_SPODI_MULTI.instr,soller_psd_lin_10,soller_psd_lin_1,GROUP
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI_MULTI/FRMII_SPODI_MULTI.instr,soller_psd_lin_11,soller_psd_lin_1,GROUP
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI_MULTI/FRMII_SPODI_MULTI.instr,soller_psd_lin_12,soller_psd_lin_1,GROUP
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI_MULTI/FRMII_SPODI_MULTI.instr,soller_psd_lin_13,soller_psd_lin_1,GROUP
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI_MULTI/FRMII_SPODI_MULTI.instr,soller_psd_lin_14,soller_psd_lin_1,GROUP
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI_MULTI/FRMII_SPODI_MULTI.instr,soller_psd_lin_15,soller_psd_lin_1,GROUP
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI_MULTI/FRMII_SPODI_MULTI.instr,soller_psd_lin_16,soller_psd_lin_1,GROUP
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI_MULTI/FRMII_SPODI_MULTI.instr,soller_psd_lin_17,soller_psd_lin_1,GROUP
McStas,./mcstas-comps/examples/FRMII/FRMII_SPODI_MULTI/FRMII_SPODI_MULTI.instr,soller_psd_lin_18,soller_psd_lin_1,GROUP
